,all_urls_details
200,https://www.laithwaites.co.uk/product/Grill-House-Shiraz-Pinotage-2021/2233621
201,https://www.laithwaites.co.uk/product/Il-Cavallino-Prosecco-Frizzante-2021/3365521
202,https://www.laithwaites.co.uk/product/Alessandro-Gallici-Prosecco-Anniversario-2020/3722920
203,https://www.laithwaites.co.uk/product/Edenvale-Sparkling-Cuv%C3%A9e-2020/3912720
204,https://www.laithwaites.co.uk/product/The-Boar-Riesling-2021/3879421
205,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Reserva-2017/0041017
206,https://www.laithwaites.co.uk/product/Il-Brutto-Negroamaro-Primitivo-2021/2045621
207,https://www.laithwaites.co.uk/product/Whispering-Angel-2021/4125421
208,https://www.laithwaites.co.uk/product/Senda-de-los-Olivos-Crianza-2016/4127216
209,https://www.laithwaites.co.uk/product/Saracosa-2019/0557119
210,https://www.laithwaites.co.uk/product/Bees-Knees-Chenin-Blanc-Viognier-2021/2114621
211,https://www.laithwaites.co.uk/product/Valiosa-Brut-2021/2660620
212,https://www.laithwaites.co.uk/product/Lobster-Shack-Chardonnay-Viognier-Chenin-Blanc-2022/2267022
213,https://www.laithwaites.co.uk/product/Camino-de-Seda-2021/1855021
214,https://www.laithwaites.co.uk/product/Luminoso-Leggero-Frizzante-Prosecco-2021/4256621
215,https://www.laithwaites.co.uk/product/Di-Cavallo-Sangiovese-2020/2067020
216,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Vartely-Dealu-Nucului-Viorica-2020/4078120
217,https://www.laithwaites.co.uk/product/Mancura-Carignan-2018/4235518
218,https://www.laithwaites.co.uk/product/Sendero-das-Meigas-Albari%C3%B1o-2020/4188920
219,https://www.laithwaites.co.uk/product/Domaine-Dampt-Chevalier-d'Eon-Bourgogne-Tonnerre-2020/0455120
220,https://www.laithwaites.co.uk/product/Altos-de-la-Guardia-Crianza-Rioja-2011/1516111
221,https://www.laithwaites.co.uk/product/Domaine-de-Bel-Air-Cuv%C3%A9e-des-Papillons-2021/3571021
222,https://www.laithwaites.co.uk/product/Purezza-Organic-Red-2020/4214120
223,https://www.laithwaites.co.uk/product/Champagne-Mo%C3%ABt-&-Chandon-Brut-Imp%C3%A9rial-(in-gift-box)-2020/05001NV
224,https://www.laithwaites.co.uk/product/Rapaura-Springs-Marlborough-Chardonnay-Reserve-2020/3757720
225,https://www.laithwaites.co.uk/product/Charles-Cros-2021/3982021
226,https://www.laithwaites.co.uk/product/Langmeil-Offspring-Cabernet-Sauvignon-2018/4178118
227,https://www.laithwaites.co.uk/product/Westend-Estate-No.1-Chardonnay-2021/0000621
228,https://www.laithwaites.co.uk/product/Passionada-Alvarinho-2021/4206421
229,https://www.laithwaites.co.uk/product/Elephant-Tree-Chenin-Blanc-Viognier-2022/4216722
230,https://www.laithwaites.co.uk/product/Way-&-Cat-Chardonnay-2021/4220021
231,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-Reserva-2019/3547519
232,https://www.laithwaites.co.uk/product/Alambrado-Malbec-Blanco-2021/4154121
233,https://www.laithwaites.co.uk/product/Split-Rock-Sauvignon-Blanc-2022/0033122
234,https://www.laithwaites.co.uk/product/Long-Live-The-King-Cabernet-Sauvignon-2021/1960721
235,https://www.laithwaites.co.uk/product/Andrew's-Reserve-Shiraz-2020/4125520
236,https://www.laithwaites.co.uk/product/Los-Vascos-Cabernet-Sauvignon-Cuv%C3%A9e-Especial-2019/0929419
237,https://www.laithwaites.co.uk/product/Il-Poeta-Barolo-2017/2114717
