,Name,Country,Type,Year,Price,Rating,Review,Size,ABV
247, Sierra del Plata Malbec 2021 , Argentina , Red ,2021,10.99,3.8,94, 750.00  , 13.0  
248, Patronus Barossa Valley Shiraz 2017 , Australia , Red ,2017,15.99,5.0,2, 750.00  , 14.5  
249, Domaine de Paris Côtes de Provence Rosé 2021 , France , Rosé ,2021,16.49,4.1,35, 750.00  , 12.5  
250, Portmann Cabernet Sauvignon 2020 , Australia , Red ,2020,14.49,4.1,10, 750.00  , 14.0  
251, Rapaura Springs Marlborough Pinot Noir Reserve 2019 , New Zealand , Red ,2019,21.0,3.4,21, 750.00  , 13.0  
252, Le Fief du Temple Colombard Chenin 2021 , France , White ,2021,11.49,4.0,133, 750.00  , 11.0  
253, L'Epiphanie de Sauternes (half bottle) 2018 , France , White ,2018,19.99,5.0,3, 375.00  , 14.5  
254, Maison Joseph Drouhin Givry 2018 , France , Red ,2018,21.0,4.2,6, 750.00  , 13.0  
255, Château Les Grands Maréchaux 2012 , France , Red ,2012,16.99,4.1,31, 750.00  , 13.5  
256, Champagne Brigitte Delmotte Rosé NV , France , Rosé ,NV,35.99,5.0,3, 750.00  , 12.0  
