name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Ulrich Langguth Riesling Rennaisance Hochgewachs Feinherb 2018,2018,11.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2024,Peter Burens,13.49,23,4.2 out of 5 stars from 23 customers,https://www.virginwines.co.uk/wine/Z40047101465/Ulrich-Langguth-Riesling-Rennaisance-Hochgewachs-Feinherb
Equipo Navazos La Bota no. 93 Manzanilla NV,NV,15.00%,75cl,Palomino,Spain,Sherry,Sherry,Within 2 years of purchase,,32.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z40107101434/Equipo-Navazos-La-Bota-no.-93-Manzanilla
Digby Fine English Brut NV,NV,12.00%,75cl,Champagne blend,England,Sparkling,English Sparkling Wine,Within 3 years of purchase,Trevor Clough and Dermot Sugrue,32.99,7,4 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z40021102128/Digby-Fine-English-Brut
Digby Leander Pink NV,NV,12.00%,75cl,Champagne blend,England,Sparkling,English Sparkling Wine,Within 3 years of purchase,Trevor Clough and Dermot Sugrue,34.99,7,4.1 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z40020102128/Digby-Leander-Pink
Las Campanitas Tempranillo 2018,2018,13.00%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2022,Borja Ripa,10.99,644,4 out of 5 stars from 644 customers,https://www.virginwines.co.uk/wine/Z39993101434/Las-Campanitas-Tempranillo
Billy Bosch Chenin Blanc Grenache Blanc 2020,2020,12.50%,75cl,Chenin blends,South Africa,White,Aromatic Whites,Now - End 2022,Ryno Booysen,9.99,348,4 out of 5 stars from 348 customers,https://www.virginwines.co.uk/wine/Z39802100009/Billy-Bosch-Chenin-Blanc-Grenache-Blanc
Bastions V Chenin Blanc Grenache Blanc 2020,2020,12.50%,75cl,Chenin blends,South Africa,White,Aromatic Whites,Now - End 2022,Ryno Booysen,9.99,303,4 out of 5 stars from 303 customers,https://www.virginwines.co.uk/wine/Z39803100009/Bastions-V-Chenin-Blanc-Grenache-Blanc
Mountain View Marlborough Pinot Noir 2019,2019,9.50%,75cl,Pinot Noir,New Zealand,Red,Light Reds,Now - End 2030,Beth Forrest,12.99,59,3.7 out of 5 stars from 59 customers,https://www.virginwines.co.uk/wine/Z39794100586/Mountain-View-Marlborough-Pinot-Noir
Tatty Bogler Waitaki Pinot Noir 2018,2018,13.00%,75cl,Pinot Noir,New Zealand,Red,Light Reds,Now - End 2028,Dr John Forrest,24.99,26,4.6 out of 5 stars from 26 customers,https://www.virginwines.co.uk/wine/Z39791100586/Tatty-Bogler-Waitaki-Pinot-Noir
Sherwood Estate Stratum Riesling 2020,2020,11.00%,75cl,Riesling,New Zealand,White,Dry and Crisp Whites,Now - End 2025,Petter Evans,14.99,32,3.9 out of 5 stars from 32 customers,https://www.virginwines.co.uk/wine/Z39719101434/Sherwood-Estate-Stratum-Riesling
The Black Pig Sauvignon Blanc Magnum 2019,2019,12.00%,Magnum1.5L,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2023,Fuse Winemaking Team,27.99,115,4.6 out of 5 stars from 115 customers,https://www.virginwines.co.uk/wine/Z39604102291/The-Black-Pig-Sauvignon-Blanc-Magnum
