name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Chateau Connetable Talbot Saint-Julien 2017,2017,13.50%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2027,Jean-Pierre Marty,35,16,4.5 out of 5 stars from 16 customers,https://www.virginwines.co.uk/wine/Z38209100780/Chateau-Connetable-Talbot-Saint-Julien
Chateau Dame de Montrose Saint-Estephe 2017,2017,13.50%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2033,Vincent Decup,50,4,4 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z38208100780/Chateau-Dame-de-Montrose-Saint-Estephe
Domaine Auvigue Pouilly Fuisse Solture 2020,2020,13.50%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2030,Michel Auvigue,24.99,49,4.2 out of 5 stars from 49 customers,https://www.virginwines.co.uk/wine/Z38206102128/Domaine-Auvigue-Pouilly-Fuisse-Solture
La Novena Garnacha 2021,2021,14.50%,75cl,Grenache / Garnacha,Spain,Red,Light Reds,Now - End 2024,Antonio Serrano,9.99,1789,4 out of 5 stars from 1789 customers,https://www.virginwines.co.uk/wine/Z38045102647/La-Novena-Garnacha
Heinrichshof Sonnenuhr Trocken Riesling Mosel 2020,2020,12.50%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2027,Peter Griebeler,16.99,31,4.4 out of 5 stars from 31 customers,https://www.virginwines.co.uk/wine/Z38147102619/Heinrichshof-Sonnenuhr-Trocken-Riesling-Mosel
5OS Project Samurai Pig Shiraz 2019,2019,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,19.99,370,4.6 out of 5 stars from 370 customers,https://www.virginwines.co.uk/wine/Z37342102291/5OS-Project-Samurai-Pig-Shiraz
Perez Cruz Cot Limited Edition 2019,2019,14.00%,75cl,Malbec,Chile,Red,Full Bodied Reds,Now - End 2026,German Lyon,16.99,260,4.4 out of 5 stars from 260 customers,https://www.virginwines.co.uk/wine/Z34522100826/Perez-Cruz-Cot-Limited-Edition
Champagne Veuve Clicquot Brut Rose NV,NV,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Within 6 years of purchase,Didier Mariotti,54.99,12,4.8 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z36215101524/Champagne-Veuve-Clicquot-Brut-Rose
Bizios Nemea Agiortiko 2016,2016,14.00%,75cl,Other red grapes,Greece,Red,Full Bodied Reds,Now - End 2029,Elia Bizios,27.99,28,4.5 out of 5 stars from 28 customers,https://www.virginwines.co.uk/wine/Z38031101434/Bizios-Nemea-Agiorgitiko
Domeco de Jarauta Black Label Rioja 2014,2014,14.00%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2027,Jose Vicente Domeco de Jarauta,34.99,81,4.7 out of 5 stars from 81 customers,https://www.virginwines.co.uk/wine/Z37428101434/Domeco-de-Jarauta-Black-Label-Rioja-Z37428101434
De Martino Niebla Casablanca Sauvignon Blanc 2020,2020,13.00%,75cl,Sauvignon Blanc,Chile,White,Dry and Crisp Whites,Now - End 2023,Nicolas Perez,13.99,260,3.9 out of 5 stars from 260 customers,https://www.virginwines.co.uk/wine/Z37695100741/De-Martino-Niebla-Casablanca-Sauvignon-Blanc
Les Trois Cles Reserve 2020,2020,13.00%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2024,Gavin Crisfield,11.99,846,4.1 out of 5 stars from 846 customers,https://www.virginwines.co.uk/wine/Z36262101061/Les-Trois-Cles-Reserve
Champagne Louis Roederer Cristal 2014,2014,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Now - End 2029,Jean-Baptiste Lecaillon,255,41,4.3 out of 5 stars from 41 customers,https://www.virginwines.co.uk/wine/Z34611100121/Champagne-Louis-Roederer-Cristal-Z34611100121
Beneficio Cellar Reserve Shiraz 2021,2021,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2030,Fuse Winemaking Team,12.99,3494,4.5 out of 5 stars from 3494 customers,https://www.virginwines.co.uk/wine/Z36749102291/Beneficio-Cellar-Reserve-Shiraz
Cascina Adelaide Barolo DOCG Cannubi 2016,2016,14.50%,75cl,Nebbiolo,Italy,Red,Classic Reds,Now - End 2035,Sergio Molino,59.99,11,4.3 out of 5 stars from 11 customers,https://www.virginwines.co.uk/wine/Z37215101434/Cascina-Adelaide-Barolo-DOCG-Cannubi
Chateau Gravas Sauternes 2016,2016,13.50%,37.5cl,Semillon,France,Dessert,Dessert Wine,Now - End 2035,Michel Bernard,13.99,71,4.3 out of 5 stars from 71 customers,https://www.virginwines.co.uk/wine/Z37071102435/Chateau-Gravas-Sauternes
Chateau du Seuil Graves Rouge 2017,2017,13.00%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2028,Nicola and Sean Allison,15.99,249,3.9 out of 5 stars from 249 customers,https://www.virginwines.co.uk/wine/Z34560100783/Chateau-du-Seuil-Graves-Rouge
Domaine de Grange Neuve Monbazillac 2018,2018,12.50%,50cl,Semillon blend,France,Dessert,Dessert Wine,Now - End 2027,Anthony Castaing,12.99,83,4.4 out of 5 stars from 83 customers,https://www.virginwines.co.uk/wine/Z35194100020/Domaine-de-Grange-Neuve-Monbazillac
Dragon Hills Syrah 2020,2020,13.50%,75cl,Shiraz / Syrah,Romania,Red,Light Reds,Now - End 2024,Hartley Smithers,9.99,3443,3.9 out of 5 stars from 3443 customers,https://www.virginwines.co.uk/wine/Z36456101434/Dragon-Hills-Syrah
Champagne Moet & Chandon Brut Rose NV,NV,12.50%,75cl,Champagne blend,France,Sparkling,Champagne,Within 2 years of purchase,Benoit Gouez,49.99,34,4.7 out of 5 stars from 34 customers,https://www.virginwines.co.uk/wine/Z35094101524/Champagne-Moet-and-Chandon-Brut-Rose
Thomas Losen Edition Riesling On Slate 2020,2020,11.00%,75cl,Riesling,Germany,White,Dry and Crisp Whites,Now - End 2027,Thomas Losen,12.99,246,4.2 out of 5 stars from 246 customers,https://www.virginwines.co.uk/wine/Z35901101465/Thomas-Losen-Edition-Riesling-On-Slate
Mount Horrocks Cordon Cut Riesling 2019,2019,11.50%,37.5cl,Riesling,Australia,Dessert,Dessert Wine,Now - End 2025,Stephanie Toole,19.99,19,4.3 out of 5 stars from 19 customers,https://www.virginwines.co.uk/wine/Z32915100089/Mount-Horrocks-Cordon-Cut-Riesling
Fernando de Castilla Antique Pedro Ximenez NV,NV,15.00%,50cl,Pedro Ximenez,Spain,Sherry,Sherry,Within 5 years of purchase,Maribel Vergara,34.99,20,4.6 out of 5 stars from 20 customers,https://www.virginwines.co.uk/wine/Z37206100029/Fernando-de-Castilla-Antique-Pedro-Ximenez
Grand Livre Reserve 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2023,Gavin Crisfield,12.99,515,3.9 out of 5 stars from 515 customers,https://www.virginwines.co.uk/wine/Z37166101061/Grand-Livre-Reserve
Kuehn Cremant d'Alsace Brut Cuvee Prestige NV,NV,11.50%,75cl,Pinot Blanc,France,Sparkling,Sparkling Non Champagne,Within 2 years of purchase,Francis Klee,13.99,242,4.4 out of 5 stars from 242 customers,https://www.virginwines.co.uk/wine/Z37582102741/Kuehn-Cremant-dAlsace-Brut-Cuvee-Prestige
Les Arbousiers Coteaux du Languedoc 2020,2020,13.50%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2025,Gavin Crisfield,11.99,1145,4 out of 5 stars from 1145 customers,https://www.virginwines.co.uk/wine/Z34401101061/Les-Arbousiers-Coteaux-du-Languedoc
Heritage du Seuil 2015,2015,13.50%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2035,Nicola Allison,32.99,21,4.3 out of 5 stars from 21 customers,https://www.virginwines.co.uk/wine/Z36030100783/Heritage-du-Seuil
Les Arbousiers Reserve Sauvignon Blanc 2021,2021,12.00%,75cl,Sauvignon Blanc,France,White,Fruity Whites,Now - End 2025,Isabelle Pangault,10.99,2285,4.1 out of 5 stars from 2285 customers,https://www.virginwines.co.uk/wine/Z37469101947/Les-Arbousiers-Reserve-Sauvignon-Blanc
Elisa Gavi 2020,2020,12.50%,75cl,Cortese (Gavi),Italy,White,Aromatic Whites,Now - End 2022,Claudio Manera,12.99,672,4.1 out of 5 stars from 672 customers,https://www.virginwines.co.uk/wine/Z35789100029/Elisa-Gavi
Woolundry Road Sparkling South Australian Chardonnay Pinot Noir Brut NV,NV,12.00%,75cl,Champagne blend,Australia,Sparkling,Sparkling Non Champagne,Within 2 years of purchase,Fuse Winemaking Team,14.99,380,4.3 out of 5 stars from 380 customers,https://www.virginwines.co.uk/wine/Z36796102291/Woolundry-Road-Sparkling-South-Australian-Chardonnay-Pinot-Noir-Brut-Z36796102291
Vina Ecoyen Reserva 2016,2016,14.50%,75cl,Cabernet blend,Spain,Red,Classic Reds,Now - End 2025,Milagros Rodriguez,9.99,2712,3.9 out of 5 stars from 2712 customers,https://www.virginwines.co.uk/wine/Z34851100029/Vina-Ecoyen-Reserva
Pizo Syrah 2020,2020,14.00%,75cl,Shiraz / Syrah,Spain,Red,Full Bodied Reds,Now - End 2025,Antonio Serrano,9.99,2168,4.1 out of 5 stars from 2168 customers,https://www.virginwines.co.uk/wine/Z37507102647/Pizo-Syrah
Tenuta Olim Bauda Barbera d'Asti DOCG La Villa 2020,2020,14.50%,75cl,Barbera,Italy,Red,Light Reds,Now - End 2029,Dino Bertolino,14.99,143,4.2 out of 5 stars from 143 customers,https://www.virginwines.co.uk/wine/Z37067101434/Tenuta-Olim-Bauda-Barbera-dAsti-DOCG-La-Villa
Soaring Kite Adelaide Hills Shiraz 2016,2016,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2025,Fuse Winemaking Team,13.99,180,4 out of 5 stars from 180 customers,https://www.virginwines.co.uk/wine/Z37451102291/Soaring-Kite-Adelaide-Hills-Shiraz
Musella Valpolicella Superiore Ripasso 2017,2017,14.00%,75cl,Corvina blend,Italy,Red,Classic Reds,Now - End 2026,Enrico Raber,21.99,141,4.3 out of 5 stars from 141 customers,https://www.virginwines.co.uk/wine/Z36565102128/Musella-Valpolicella-Superiore-Ripasso
Cave de Turckheim Gewurztraminer Sables et Galets 2019,2019,14.00%,75cl,Gewurztraminer,France,White,Aromatic Whites,Now - End 2025,Jean Michel Lihrmann,15.99,168,4.2 out of 5 stars from 168 customers,https://www.virginwines.co.uk/wine/Z32392100020/Cave-de-Turckheim-Gewurztraminer-Sables-et-Galets
Chateau Moulin du Terrier Bordeaux Rouge 2018,2018,14.00%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2024,Etienne Pelissie,12.99,276,4.1 out of 5 stars from 276 customers,https://www.virginwines.co.uk/wine/Z36923100780/Chateau-Moulin-du-Terrier-Bordeaux-Rouge
Clos des Cordeliers Saumur Champigny Cuvee Tradition 2018,2018,13.00%,75cl,Cabernet Franc,France,Red,Classic Reds,Now - End 2024,Sebastien Ratron,13.99,55,4.2 out of 5 stars from 55 customers,https://www.virginwines.co.uk/wine/Z37299101935/Clos-des-Cordeliers-Saumur-Champigny-Cuvee-Tradition
Coyam 2019,2019,14.00%,75cl,Syrah / Shiraz blend,Chile,Red,Full Bodied Reds,Now - End 2027,Alvaro Espinosa,21.99,225,4.6 out of 5 stars from 225 customers,https://www.virginwines.co.uk/wine/Z34092101172/Coyam
Cloudy Bay Pelorus NV,NV,12.00%,75cl,Champagne blend,New Zealand,Sparkling,Sparkling Non Champagne,Within 6 years of purchase,Jim White,26.99,165,4.2 out of 5 stars from 165 customers,https://www.virginwines.co.uk/wine/Z35097101524/Cloudy-Bay-Pelorus
16 Little Black Pigs Chardonnay 2021,2021,12.50%,75cl,Chardonnay,Australia,White,Dry and Crisp Whites,Now - End 2025,Fuse Winemaking Team,10.99,2086,4.3 out of 5 stars from 2086 customers,https://www.virginwines.co.uk/wine/Z36800102291/16-Little-Black-Pigs-Chardonnay
5OS Project McLaren Vale Barbera 2018,2018,14.00%,75cl,Barbera,Australia,Red,Full Bodied Reds,Now - End 2026,Steve Grimley,16.99,115,4.3 out of 5 stars from 115 customers,https://www.virginwines.co.uk/wine/Z36781102291/5OS-Project-McLaren-Vale-Barbera
Araldica Moscato d'Asti 2020,2020,5.00%,75cl,Moscato,Italy,Sparkling,Sparkling Non Champagne,Now - End 2022,Claudio Manera,9.99,281,4.2 out of 5 stars from 281 customers,https://www.virginwines.co.uk/wine/Z35836100029/Araldica-Moscato-dAsti
Bastions V Bush Vine Chenin Blanc 2021,2021,12.50%,75cl,Chenin Blanc,South Africa,White,Dry and Crisp Whites,Now - End 2023,Ryno Booysen,10.99,1325,4 out of 5 stars from 1325 customers,https://www.virginwines.co.uk/wine/Z37422100009/Bastions-V-Bush-Vine-Chenin-Blanc
Ca' Vegar Custoza DOC 2020,2020,12.50%,75cl,Garganega blend,Italy,White,Dry and Crisp Whites,Now - End 2023,Umberto Menini,12.99,1042,4 out of 5 stars from 1042 customers,https://www.virginwines.co.uk/wine/Z37103102449/Ca-Vegar-Custoza-DOC
Blackfoot Daisy Merlot 2020,2020,14.00%,75cl,Merlot,Australia,Red,Light Reds,Now - End 2026,Fuse Winemaking Team,10.99,2338,4.1 out of 5 stars from 2338 customers,https://www.virginwines.co.uk/wine/Z36661102291/Blackfoot-Daisy-Merlot
Le Sanglier Sauvage 2018,2018,13.50%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2024,Gavin Crisfield,12.99,701,4.1 out of 5 stars from 701 customers,https://www.virginwines.co.uk/wine/Z36247101061/Le-Sanglier-Sauvage
La Dama Amarone della Valpolicella Classico 2017,2017,16.50%,75cl,Corvina blend,Italy,Red,Classic Reds,Now - End 2037,Gabriele Dalcanale,33.99,71,4.3 out of 5 stars from 71 customers,https://www.virginwines.co.uk/wine/Z37115102459/La-Dama-Amarone-della-Valpolicella-Classico
Finca Manzanos Voche Reserva 2015,2015,13.00%,75cl,Viura blend,Spain,White,Oaky Whites,Now - End 2024,Borja Ripa,18.99,107,3.9 out of 5 stars from 107 customers,https://www.virginwines.co.uk/wine/Z37358101434/Finca-Manzanos-Voche-Reserva
Hummingbird Sauvignon Blanc 2021,2021,12.00%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2026,Fuse Winemaking Team,10.99,1940,4.2 out of 5 stars from 1940 customers,https://www.virginwines.co.uk/wine/Z36972102291/Hummingbird-Sauvignon-Blanc
Solpiantez Spumante Brut Millesimato 2020,2020,11.50%,75cl,Garganega blend,Italy,Sparkling,Sparkling Non Champagne,Now - End 2024,Umberto Menini,10.99,1987,4.3 out of 5 stars from 1987 customers,https://www.virginwines.co.uk/wine/Z37110102461/Solpiantez-Spumante-Brut-Millesimato
Silenus Reserve Coonawarra Cabernet Sauvignon 2017,2017,14.00%,75cl,Cabernet Sauvignon,Australia,Red,Full Bodied Reds,Now - End 2023,Fuse Winemaking Team,10.99,1840,4.2 out of 5 stars from 1840 customers,https://www.virginwines.co.uk/wine/Z36967102291/Silenus-Reserve-Coonawarra-Cabernet-Sauvignon-Z36967102291
Pizo Reserva 2017,2017,13.50%,75cl,Tempranillo blend,Spain,Red,Classic Reds,Now - End 2027,Antonio Serrano,12.99,1196,4.1 out of 5 stars from 1196 customers,https://www.virginwines.co.uk/wine/Z37468102647/Pizo-Reserva
Pouilly Fume Les Loges Pierre Marchand 2020,2020,14.00%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2024,Eric Marchand,16.99,340,4.5 out of 5 stars from 340 customers,https://www.virginwines.co.uk/wine/Z36765101434/Pouilly-Fume-Les-Loges-Pierre-Marchand
Schola Sarmenti Masserei Rose Nardo DOC 2020,2020,13.00%,75cl,Other red grapes,Italy,Rosé,Dry and Fruity Rosé,Now - End 2023,Benedetto Lorusso,11.99,54,4 out of 5 stars from 54 customers,https://www.virginwines.co.uk/wine/Z37498102454/Schola-Sarmenti-Masserei-Rose-Nardo-DOC
Mezzo SV Shiraz Mataro 2015,2015,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2022,Phil Lehmann and Jon Hesketh,11.99,53,3.8 out of 5 stars from 53 customers,https://www.virginwines.co.uk/wine/Z37379101414/Mezzo-SV-Shiraz-Mataro
Domaine Chante Cigale Chateauneuf-du-Pape Blanc 2020,2020,14.00%,75cl,Grenache Blanc,France,White,Aromatic Whites,Now - End 2026,Alex Favier,24.99,104,4.4 out of 5 stars from 104 customers,https://www.virginwines.co.uk/wine/Z35190100020/Domaine-Chante-Cigale-Chateauneuf-du-Pape-Blanc
Vat 71 Reserve Shiraz 2020,2020,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2024,Fuse Winemaking Team,12.99,3137,4.5 out of 5 stars from 3137 customers,https://www.virginwines.co.uk/wine/Z36794102291/Vat-71-Reserve-Shiraz
Conte di Campiano Sangiovese Rubicone IGT 2019,2019,13.50%,75cl,Sangiovese,Italy,Red,Classic Reds,Now - End 2025,Umberto Menini,11.99,1241,4.2 out of 5 stars from 1241 customers,https://www.virginwines.co.uk/wine/Z37142102461/Conte-di-Campiano-Sangiovese-Rubicone-IGT
Bodegas Hidalgo La Gitana Manzanilla NV,NV,15.00%,75cl,Palomino,Spain,Sherry,Sherry,Within 3 years of purchase,Javier Hidalgo,11.49,64,4 out of 5 stars from 64 customers,https://www.virginwines.co.uk/wine/Z37030100003/Bodegas-Hidalgo-La-Gitana-Manzanilla
Domaine Michel Girard Sancerre Silex 2020,2020,13.50%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2025,Philippe Girard,21.99,136,4.4 out of 5 stars from 136 customers,https://www.virginwines.co.uk/wine/Z35807100020/Domaine-Michel-Girard-Sancerre-Silex
The Black Pig Cabernet Sauvignon 2019,2019,14.00%,75cl,Cabernet Sauvignon,Australia,Red,Full Bodied Reds,Now - End 2026,Fuse Winemaking Team,11.99,2076,4.5 out of 5 stars from 2076 customers,https://www.virginwines.co.uk/wine/Z36828102291/The-Black-Pig-Cabernet-Sauvignon
Solpiantez Spumante Brut Rose Millesimato 2020,2020,11.50%,75cl,Garganega blend,Italy,Sparkling,Sparkling Non Champagne,Now - End 2024,Umberto Menini,10.99,484,4.2 out of 5 stars from 484 customers,https://www.virginwines.co.uk/wine/Z37111102461/Solpiantez-Spumante-Brut-Rose-Millesimato
Araldica d'Aria Pinot Grigio Rose 2020,2020,12.50%,75cl,Pinot Grigio,Italy,Rosé,Dry and Fruity Rosé,Now - End 2022,Claudio Manera,9.99,1049,4 out of 5 stars from 1049 customers,https://www.virginwines.co.uk/wine/Z33962100029/Araldica-dAria-Pinot-Grigio-Rose
16 Little Black Pigs Shiraz Cabernet 2020,2020,14.00%,75cl,Syrah / Shiraz blend,Australia,Red,Fruity Reds,Now - End 2025,Fuse Winemaking Team,10.99,2985,4.5 out of 5 stars from 2985 customers,https://www.virginwines.co.uk/wine/Z36738102291/16-Little-Black-Pigs-Shiraz-Cabernet
Chateau La Reverance St Emilion Grand Cru 2019,2019,14.00%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2026,Emeric Petit,27.99,21,4 out of 5 stars from 21 customers,https://www.virginwines.co.uk/wine/Z36029100783/Chateau-La-Reverance-St-Emilion-Grand-Cru
Domaine Michel Girard Sancerre 2020,2020,13.50%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2024,Philippe Girard,19.99,543,4.5 out of 5 stars from 543 customers,https://www.virginwines.co.uk/wine/Z33736100020/Domaine-Michel-Girard-Sancerre
Chateau Grand Tayac Margaux 2016,2016,13.00%,75cl,Cabernet blend,France,Red,Classic Reds,Now - End 2024,Eric and Jacques Boissenot,32.99,27,4.1 out of 5 stars from 27 customers,https://www.virginwines.co.uk/wine/Z36028100783/Chateau-Grand-Tayac-Margaux
Chateau Ka Bekaa Valley Source Blanche 2019,2019,13.00%,75cl,Sauvignon blend,Lebanon,White,Aromatic Whites,Now - End 2026,Akram Kassatly,13.99,106,4.1 out of 5 stars from 106 customers,https://www.virginwines.co.uk/wine/Z36522101434/Chateau-Ka-Bekaa-Valley-Source-Blanche
Lof Syrah 2018,2018,13.00%,75cl,Shiraz / Syrah,Chile,Red,Full Bodied Reds,Now - End 2024,German Lyon,17.99,12,3.8 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z37311102597/Lof-Syrah
Chateauneuf-du-Pape Cuvee Speciale 2019,2019,14.50%,75cl,Grenache / Garnacha blend,France,Red,Classic Reds,Now - End 2027,Bruno Matthieu,21.99,672,4.5 out of 5 stars from 672 customers,https://www.virginwines.co.uk/wine/Z35841100780/Chateauneuf-du-Pape-Cuvee-Speciale
Baron de Boutisse St Emilion Grand Cru 2016,2016,14.00%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2026,Xavier and Marc Milhade,19.99,58,4.3 out of 5 stars from 58 customers,https://www.virginwines.co.uk/wine/Z36024100783/Baron-de-Boutisse-St-Emilion-Grand-Cru
Cave de Turckheim Gewurztraminer Vendange Tardive 2018,2018,13.00%,50cl,Gewurztraminer,France,Dessert,Dessert Wine,Now - End 2030,Jean Michel Lihrmann,24.99,24,4.5 out of 5 stars from 24 customers,https://www.virginwines.co.uk/wine/Z33799100020/Cave-de-Turckheim-Gewurztraminer-Vendange-Tardive
Baciato Primitivo 2020,2020,13.00%,75cl,Zinfandel / Primitivo,Italy,Red,Full Bodied Reds,Now - End 2030,Umberto Menini,10.99,994,4.1 out of 5 stars from 994 customers,https://www.virginwines.co.uk/wine/Z37171102461/Baciato-Primitivo
Cascina Adelaide Dolcetto di Diano d'Alba DOC Vigna Costa Fiore 2016,2016,14.50%,75cl,Dolcetto,Italy,Red,Light Reds,Now - End 2021,Sergio Molino,17.99,18,4.2 out of 5 stars from 18 customers,https://www.virginwines.co.uk/wine/Z37214101434/Cascina-Adelaide-Dolcetto-di-Diano-dAlba-DOC-Vigna-Costa-Fiore
Champagne Laurent Perrier Magnum NV,NV,12.00%,Magnum1.5L,Champagne blend,France,Sparkling,Champagne,Within 5 years of purchase,Michel Fauconnet,87.99,17,4.8 out of 5 stars from 17 customers,https://www.virginwines.co.uk/wine/Z37373101639/Champagne-Laurent-Perrier-Magnum-Z37373101639
The Sail Shiraz 2020,2020,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2025,Fuse Winemaking Team,10.99,2038,4.2 out of 5 stars from 2038 customers,https://www.virginwines.co.uk/wine/Z36662102291/The-Sail-Shiraz
Yalumba Antique Muscat NV,NV,17.50%,37.5cl,Muscat,Australia,Dessert,Dessert Wine,Within 6 years of purchase,David Zimmermann,16.99,185,4.5 out of 5 stars from 185 customers,https://www.virginwines.co.uk/wine/Z36279101999/Yalumba-Antique-Muscat
Taylors Chip Dry White Port NV,NV,20.00%,75cl,Other white grapes,Portugal,Fortified,Port and Fortified,Within 2 years of purchase,David Guimaraens,16.99,47,4.1 out of 5 stars from 47 customers,https://www.virginwines.co.uk/wine/Z37249100003/Taylors-Chip-Dry-White-Port
Schola Sarmenti Nerio Reserve Nardo DOC 2017,2017,14.00%,75cl,Other red grapes,Italy,Red,Full Bodied Reds,Now - End 2025,Benedetto Lorusso,14.99,306,4.6 out of 5 stars from 306 customers,https://www.virginwines.co.uk/wine/Z37105102454/Schola-Sarmenti-Nerio-Reserve-Nardo-DOC
Chateau Arnaud de Jacquemeau St Emilion Grand Cru 2018,2018,15.00%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2028,Dominique Dupuy,21.99,50,4.4 out of 5 stars from 50 customers,https://www.virginwines.co.uk/wine/Z36025100783/Chateau-Arnaud-de-Jacquemeau-St-Emilion-Grand-Cru
Domaine de la Semellerie Chinon Rose 2020,2020,12.50%,75cl,Cabernet Franc,France,Rosé,Dry and Fruity Rosé,Now - End 2023,Fabrice Delalande,11.99,66,4 out of 5 stars from 66 customers,https://www.virginwines.co.uk/wine/Z37297101935/Domaine-de-la-Semellerie-Chinon-Rose
La Dama Valpolicella Classico 2020,2020,12.00%,75cl,Corvina blend,Italy,Red,Classic Reds,Now - End 2024,Gabriele Dalcanale,13.99,93,3.7 out of 5 stars from 93 customers,https://www.virginwines.co.uk/wine/Z37516102459/La-Dama-Valpolicella-Classico
Big Top White Zinfandel Rose 2020,2020,10.00%,75cl,Zinfandel / Primitivo,USA,Rosé,Sweeter Style Rosé,Now - End 2023,Samantha Bailey,10.99,820,4.1 out of 5 stars from 820 customers,https://www.virginwines.co.uk/wine/Z35598100020/Big-Top-White-Zinfandel-Rose
Champagne Bollinger La Grande Annee 2014,2014,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Now - End 2035,Gilles Descotes,125,7,5 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z36469100003/Champagne-Bollinger-La-Grande-Annee
Pizo Garnacha 2020,2020,14.50%,75cl,Grenache / Garnacha,Spain,Red,Light Reds,Now - End 2025,Antonio Serrano,9.99,3447,4.1 out of 5 stars from 3447 customers,https://www.virginwines.co.uk/wine/Z37467102647/Pizo-Garnacha
Musella Amarone Riserva 2015,2015,16.00%,75cl,Corvina blend,Italy,Red,Classic Reds,Now - End 2026,Enrico Raber,49.99,140,4.6 out of 5 stars from 140 customers,https://www.virginwines.co.uk/wine/Z36564102128/Musella-Amarone-Riserva
Chateau Belair St Georges St Emilion 2015,2015,13.00%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2029,Yannick Le Menn,16.99,139,4.3 out of 5 stars from 139 customers,https://www.virginwines.co.uk/wine/Z36023100783/Chateau-Belair-St-Georges-St-Emilion
La Dama Valpolicella Ripasso 2018,2018,14.50%,75cl,Corvina blend,Italy,Red,Classic Reds,Now - End 2026,Gabriele Dalcanale,16.99,98,4 out of 5 stars from 98 customers,https://www.virginwines.co.uk/wine/Z37517102459/La-Dama-Valpolicella-Ripasso
Domaine Fichet Macon-Villages 2020,2020,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2024,Pierre-Yves Fichet,16.99,119,4.3 out of 5 stars from 119 customers,https://www.virginwines.co.uk/wine/Z36944101434/Domaine-Fichet-Macon-Villages
Chateau de Puligny Montrachet Domaine de Montille 2019,2019,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2032,Etienne de Montille,64.99,14,4.5 out of 5 stars from 14 customers,https://www.virginwines.co.uk/wine/Z37284101935/Chateau-de-Puligny-Montrachet-Domaine-de-Montille
Belmonte Marlborough Sauvignon Blanc 2020,2020,13.00%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2025,Beth Forrest,14.99,1643,4 out of 5 stars from 1643 customers,https://www.virginwines.co.uk/wine/Z31954100586/Belmonte-Marlborough-Sauvignon-Blanc
Castelfeder Lagrein Klassische Linie DOC 2019,2019,13.00%,75cl,Lagrein,Italy,Red,Classic Reds,Now - End 2024,Giovanett Family Vineyards,15.99,45,4.1 out of 5 stars from 45 customers,https://www.virginwines.co.uk/wine/Z32470100110/Castelfeder-Lagrein-Klassische-Linie-DOC
Bressia Profundo 2016,2016,14.50%,75cl,Malbec blend,Argentina,Red,Full Bodied Reds,Now - End 2029,Walter Bressia,25.99,100,4.5 out of 5 stars from 100 customers,https://www.virginwines.co.uk/wine/Z35488100009/Bressia-Profundo
Croft Quinta da Roeda Vintage Port 2004,2004,20.50%,75cl,Port Blends,Portugal,Fortified,Port and Fortified,Now - End 2027,David Guimaraens,21.99,33,4.1 out of 5 stars from 33 customers,https://www.virginwines.co.uk/wine/Z34794100003/Croft-Quinta-da-Roeda-Vintage-Port
