rating,num_review,wine_type,size (cL),name,price,country,abv,year,url
0.0,0,white,75.0,Jean-Marc Brocard Chablis,19.52,France,13.0,2020.0,https://www.decantalo.com/uk/en/jean-marc-brocard-chablis.html#/1-volume-75_cl/158-year-2020
3.8,4,white,75.0,Marqués de Vizhoja,7.98,,11.5,2021.0,https://www.decantalo.com/uk/en/marques-de-vizhoja.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Kiedricher Riesling Trocken Ortswein,24.45,Germany,12.5,2020.0,https://www.decantalo.com/uk/en/kiedricher-riesling-trocken-ortswein.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Sameirás 1040,18.79,Spain,13.0,2019.0,https://www.decantalo.com/uk/en/sameiras-1040.html#/1-volume-75_cl/114-year-2019
0.0,0,white,75.0,Paul Cluver Estate Sauvignon Blanc,11.73,South Africa,13.0,2021.0,https://www.decantalo.com/uk/en/paul-cluver-estate-sauvignon-blanc.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Rapitalà Piano Maltese,10.64,Italy,12.5,2021.0,https://www.decantalo.com/uk/en/rapitala-piano-maltese.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Pardas Blau Cru,out of stock,Spain,12.5,2019.0,https://www.decantalo.com/uk/en/pardas-blau-cru.html#/1-volume-75_cl/114-year-2019
4.0,1,white,75.0,Mauro Godello,43.84,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/mauro-godello.html#/1-volume-75_cl/201-year-2021
4.5,8,white,75.0,Pazo Señorans,22.23,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/pazo-senorans.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Luis Cañas Viñas Viejas,14.59,Spain,13.5,2020.0,https://www.decantalo.com/uk/en/luis-canas-fermentado-en-barrica.html#/1-volume-75_cl/158-year-2020
4.0,1,white,75.0,Quinta de Couselo,13.99,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/quinta-de-couselo.html#/1-volume-75_cl/201-year-2021
4.7,14,white,75.0,Habla de Ti,11.88,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/habla-de-ti.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Paco & Lola Godello,13.69,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/paco-lola-godello.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Gorka Izagirre 42 Zura,22.99,Spain,13.0,2019.0,https://www.decantalo.com/uk/en/gorka-izagirre-42-zura.html#/1-volume-75_cl/114-year-2019
0.0,0,white,75.0,Quíbia,14.84,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/quibia.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Nisia,11.54,Spain,14.5,2021.0,https://www.decantalo.com/uk/en/nisia.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Feudi di San Gregorio Biancolella,13.17,Italy,13.0,2021.0,https://www.decantalo.com/uk/en/feudo-di-san-gregorio-biancolella.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Sameirás Blanco,12.78,Spain,13.0,2020.0,https://www.decantalo.com/uk/en/sameiras-blanco.html#/1-volume-75_cl/158-year-2020
4.0,1,white,75.0,Livio Felluga Sharis,19.73,Italy,12.5,2021.0,https://www.decantalo.com/uk/en/livio-felluga-sharis.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Livio Felluga Chardonnay,23.6,Italy,12.5,2020.0,https://www.decantalo.com/uk/en/livio-felluga-chardonnay.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Livio Felluga Friulano,22.44,Italy,13.0,2020.0,https://www.decantalo.com/uk/en/livio-felluga-friulano.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Viñas del Vero Chardonnay,9.27,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/vinas-del-vero-chardonnay.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Louis Latour Chablis,25.27,France,12.5,2021.0,https://www.decantalo.com/uk/en/louis-latour-chablis.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Riffault Akméniné,22.34,France,13.5,2018.0,https://www.decantalo.com/uk/en/riffault-akmenine.html#/1-volume-75_cl/111-year-2018
4.7,3,white,75.0,Frontonio Microcósmico Macabeo,13.26,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/frontonio-microcosmico-macabeo.html#/1-volume-75_cl/201-year-2021
4.6,13,white,75.0,Barón de Ley 3 Viñas Blanco Reserva,15.02,Spain,13.5,2019.0,https://www.decantalo.com/uk/en/baron-de-ley-3-vinas-blanco-reserva.html#/1-volume-75_cl/114-year-2019
4.8,4,white,75.0,Santiago Ruiz Albariño,14.89,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/santiago-ruiz-albarino.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,E. Guigal Côtes du Rhône Blanc,14.89,France,13.5,2020.0,https://www.decantalo.com/uk/en/e--guigal-cotes-du-rhone-blanc.html#/1-volume-75_cl/158-year-2020
0.0,0,white,75.0,Viña Meín Blanco,out of stock,Spain,12.0,2017.0,https://www.decantalo.com/uk/en/vina-mein-blanco.html#/1-volume-75_cl/180-year-2017
0.0,0,white,75.0,Chapoutier Deschants Blanc,23.72,France,13.5,2019.0,https://www.decantalo.com/uk/en/chapoutier-deschants-blanc.html#/1-volume-75_cl/114-year-2019
4.8,4,white,75.0,Barbuntín,11.33,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/barbuntin.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Dr. Loosen Dr. L. Bros Riesling,10.0,Germany,8.5,2021.0,https://www.decantalo.com/uk/en/dr--loosen-dr--l--riesling.html#/1-volume-75_cl/201-year-2021
5.0,3,white,75.0,Mas d'en Compte Blanc,16.26,Spain,13.5,2017.0,https://www.decantalo.com/uk/en/mas-d-en-compte-blanc.html#/1-volume-75_cl/180-year-2017
4.0,2,white,75.0,Atalier Albariño,15.27,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/atalier-albarino.html#/1-volume-75_cl/201-year-2021
4.5,4,white,75.0,Alba Martín,10.8,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/alba-martin.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Ramón do Casar,12.66,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/ramon-do-casar.html#/1-volume-75_cl/201-year-2021
4.7,3,white,75.0,Monopole,7.89,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/monopole.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Dos Lusíadas Eleivera Blanco,10.91,Portugal,13.0,2019.0,https://www.decantalo.com/uk/en/dos-lusiadas-eleiveira-blanco.html#/1-volume-75_cl/114-year-2019
4.9,10,white,75.0,Monte Real Blanco Fermentado con Barrica,7.46,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/monte-real-blanco-fermentado-con-barrica.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Raimat Albariño,10.08,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/raimat-albarino.html#/1-volume-75_cl/201-year-2021
4.0,1,white,75.0,Hugel Gentil,11.24,France,13.0,2019.0,https://www.decantalo.com/uk/en/hugel-gentil.html#/1-volume-75_cl/114-year-2019
0.0,0,white,75.0,Freyé Parellada Muscat ,9.31,Spain,11.5,2021.0,https://www.decantalo.com/uk/en/masia-freye-parellada-muscat.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,La Primera Revancha Chenin Blanc,out of stock,Argentina,13.5,2019.0,https://www.decantalo.com/uk/en/la-primera-revancha-chenin-blanc.html#/1-volume-75_cl/114-year-2019
