name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
Langmeil Offspring Cabernet Sauvignon 2018,0,15.0,2018,750.0,Australia,Red Wine,23.0,4,3.5,https://www.laithwaites.co.uk/product/Langmeil-Offspring-Cabernet-Sauvignon-2018/4178118
Aluado Alicante Bouschet Reserva 2019,0,13.5,2019,750.0,Portugal,Red Wine,16.99,95,4.3,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-Reserva-2019/3547519
Long Live The King Cabernet Sauvignon 2021,0,14.0,2021,750.0,Australia,Red Wine,11.99,474,3.8,https://www.laithwaites.co.uk/product/Long-Live-The-King-Cabernet-Sauvignon-2021/1960721
Andrew's Reserve Shiraz 2020,0,14.5,2020,750.0,Australia,Red Wine,9.99,43,4.2,https://www.laithwaites.co.uk/product/Andrew's-Reserve-Shiraz-2020/4125520
Il Poeta Barolo 2017,0,14.5,2017,750.0,Italy,Red Wine,27.0,14,3.1,https://www.laithwaites.co.uk/product/Il-Poeta-Barolo-2017/2114717
Los Vascos Cabernet Sauvignon Cuvée Especial 2019,0,14.0,2019,750.0,Chile,Red Wine,14.99,121,3.7,https://www.laithwaites.co.uk/product/Los-Vascos-Cabernet-Sauvignon-Cuv%C3%A9e-Especial-2019/0929419
Casa Silva Selección Especial Cabernet Sauvignon Carmenère 2021,0,13.5,2021,750.0,Chile,Red Wine,13.49,19,3.9,https://www.laithwaites.co.uk/product/Casa-Silva-Selecci%C3%B3n-Especial-Cabernet-Sauvignon-Carmen%C3%A8re-2021/4135221
Purple Owl Pinot Noir 2021,0,13.5,2021,750.0,USA,Red Wine,14.99,32,3.6,https://www.laithwaites.co.uk/product/Purple-Owl-Pinot-Noir-2021/2531521
Amoras 2020,0,13.0,2020,750.0,Portugal,Red Wine,10.49,686,4.1,https://www.laithwaites.co.uk/product/Amoras-2020/0287320
Pigassou 2021,0,14.0,2021,750.0,France,Red Wine,10.99,504,3.9,https://www.laithwaites.co.uk/product/Pigassou-2021/0056321
Q Malbec 2020,0,14.0,2020,750.0,Australia,Red Wine,12.99,164,4.3,https://www.laithwaites.co.uk/product/Q-Malbec-2020/3789520
