wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
white,75,Hardys Zero Chardonnay,3.5,0,0,Australia,,2021,https://groceries.morrisons.com/products/hardys-zero-chardonnay-588202011
white,75,Diablo Golden Chardonnay,10,0,0,Chile,13.5,2020,https://groceries.morrisons.com/products/diablo-golden-chardonnay-588186011
white,37.5,Morrisons The Best Bortytis Semillon,6,3.3,3,Australia,11.5,2017,https://groceries.morrisons.com/products/morrisons-the-best-bortytis-semillon-378129011
white,75,Fleurs De Prairie Luberon,8,4,2,France,13,,https://groceries.morrisons.com/products/fleurs-de-prairie-luberon-523744011
white,75,Errazuriz Sauvignon Blanc,9,4.3,3,Chile,13,2020,https://groceries.morrisons.com/products/errazuriz-sauvignon-blanc-261081011
white,75,Moillard Chablis,13.5,0,0,France,12.5,2021,https://groceries.morrisons.com/products/moillard-chablis-583449011
white,75,Morrisons The Best Grenache Blanc,8,4,3,South Africa,12.5,2020,https://groceries.morrisons.com/products/morrisons-the-best-grenache-blanc-500606011
white,75,Kylie Minogue Sauvignon Blanc,9,4,2,France,11.5,2019,https://groceries.morrisons.com/products/kylie-minogue-sauvignon-blanc-546519011
white,75,Morrisons The Best Verdeca Igp 2021,8.5,0,0,Italy,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-verdeca-igp-2021-589697011
white,75,Hardys Nottage Hill Pinot Grigio,6.5,0,0,Australia,12,2021,https://groceries.morrisons.com/products/hardys-nottage-hill-pinot-grigio-583434011
white,75,Terramare Pinot Grigio,4.99,0,0,Italy,11.5,2021,https://groceries.morrisons.com/products/terramare-pinot-grigio-586525011
white,75,Ortense Pinot Grigio Terre Di Chieti,4.99,0,0,Italy,12.5,,https://groceries.morrisons.com/products/ortense-pinot-grigio-terre-di-chieti-590049011
white,225,64 Edge South African Sauvignon Blanc,16,0,0,South Africa,13,2021,https://groceries.morrisons.com/products/64-edge-south-african-sauvignon-blanc-575443011
white,75,Maremel Albarino,12,0,0,Spain,12.5,2021,https://groceries.morrisons.com/products/maremel-albarino-588188011
white,75,Wise Wolf Chardonnay,10,0,0,France,13.5,2021,https://groceries.morrisons.com/products/wise-wolf-chardonnay-589686011
white,75,Cidade Branca White,8,0,0,Portugal,13,2021,https://groceries.morrisons.com/products/cidade-branca-white-588185011
