,name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score,retailer
88,Barón de Barbón Reserva 2017,14,2017,75,Spain,Red,16.99,92,3.9,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Reserva-2017/0041017,ESP,16.99,1.230193379,16.99,5,3.9,laithwaites
89,Il Brutto Negroamaro Primitivo 2021,13,2021,75,Italy,Red,11.99,1097,4.1,https://www.laithwaites.co.uk/product/Il-Brutto-Negroamaro-Primitivo-2021/2045621,ITA,11.99,1.078819183,11.99,1,4.1,laithwaites
90,Senda de los Olivos Crianza 2016,14.5,2016,75,Spain,Red,19.99,1,5,https://www.laithwaites.co.uk/product/Senda-de-los-Olivos-Crianza-2016/4127216,ESP,19.99,1.300812794,19.99,6,0,laithwaites
91,Saracosa 2019,13,2019,75,Italy,Red,12.49,434,4.1,https://www.laithwaites.co.uk/product/Saracosa-2019/0557119,ITA,12.49,1.096562438,12.49,3,4.1,laithwaites
92,Rex Mundi Shiraz Grenache Wine Box 2021,13,2021,300,France,Red,30,14,4.9,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-Wine-Box-2021/4232821,FRA,7.5,0.875061263,30,1,4.9,laithwaites
93,Camino de Seda 2021,15,2021,75,Spain,Red,11.99,1061,3.7,https://www.laithwaites.co.uk/product/Camino-de-Seda-2021/1855021,ESP,11.99,1.078819183,11.99,1,3.7,laithwaites
94,Mancura Carignan 2018,14,2018,75,Chile,Red,10.99,1,5,https://www.laithwaites.co.uk/product/Mancura-Carignan-2018/4235518,CHL,10.99,1.040997692,10.99,4,0,laithwaites
95,RedHeads Coco Rôtie 2019,14.5,2019,75,Australia,Red,14.99,134,3.9,https://www.laithwaites.co.uk/product/RedHeads-Coco-R%C3%B4tie-2019/2543019,AUS,14.99,1.175801633,14.99,3,3.9,laithwaites
96,Purezza Organic Red 2020,13.5,2020,75,Italy,Red,9.99,6,4.2,https://www.laithwaites.co.uk/product/Purezza-Organic-Red-2020/4214120,ITA,9.99,0.999565488,9.99,2,4.2,laithwaites
97,Altos de la Guardia Crianza Rioja 2011,14,2011,75,Spain,Red,17.99,31,3.5,https://www.laithwaites.co.uk/product/Altos-de-la-Guardia-Crianza-Rioja-2011/1516111,ESP,17.99,1.255031163,17.99,11,3.5,laithwaites
98,Charles Cros 2021,13.5,2021,75,France,Red,11.99,139,4.3,https://www.laithwaites.co.uk/product/Charles-Cros-2021/3982021,FRA,11.99,1.078819183,11.99,1,4.3,laithwaites
99,Langmeil Offspring Cabernet Sauvignon 2018,15,2018,75,Australia,Red,23,4,3.5,https://www.laithwaites.co.uk/product/Langmeil-Offspring-Cabernet-Sauvignon-2018/4178118,AUS,23,1.361727836,23,4,0,laithwaites
100,Aluado Alicante Bouschet Reserva 2019,13.5,2019,75,Portugal,Red,16.99,95,4.3,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-Reserva-2019/3547519,PRT,16.99,1.230193379,16.99,3,4.3,laithwaites
101,Long Live The King Cabernet Sauvignon 2021,14,2021,75,Australia,Red,11.99,474,3.8,https://www.laithwaites.co.uk/product/Long-Live-The-King-Cabernet-Sauvignon-2021/1960721,AUS,11.99,1.078819183,11.99,1,3.8,laithwaites
102,Andrew's Reserve Shiraz 2020,14.5,2020,75,Australia,Red,9.99,43,4.2,https://www.laithwaites.co.uk/product/Andrew's-Reserve-Shiraz-2020/4125520,AUS,9.99,0.999565488,9.99,2,4.2,laithwaites
103,Il Poeta Barolo 2017,14.5,2017,75,Italy,Red,27,14,3.1,https://www.laithwaites.co.uk/product/Il-Poeta-Barolo-2017/2114717,ITA,27,1.431363764,27,5,3.1,laithwaites
104,Los Vascos Cabernet Sauvignon Cuvée Especial 2019,14,2019,75,Chile,Red,14.99,121,3.7,https://www.laithwaites.co.uk/product/Los-Vascos-Cabernet-Sauvignon-Cuv%C3%A9e-Especial-2019/0929419,CHL,14.99,1.175801633,14.99,3,3.7,laithwaites
105,Casa Silva Selección Especial Cabernet Sauvignon Carmenère 2021,13.5,2021,75,Chile,Red,13.49,19,3.9,https://www.laithwaites.co.uk/product/Casa-Silva-Selecci%C3%B3n-Especial-Cabernet-Sauvignon-Carmen%C3%A8re-2021/4135221,CHL,13.49,1.13001195,13.49,1,3.9,laithwaites
106,Purple Owl Pinot Noir 2021,13.5,2021,75,USA,Red,14.99,32,3.6,https://www.laithwaites.co.uk/product/Purple-Owl-Pinot-Noir-2021/2531521,unknown,14.99,1.175801633,14.99,1,3.6,laithwaites
107,Amoras 2020,13,2020,75,Portugal,Red,10.49,686,4.1,https://www.laithwaites.co.uk/product/Amoras-2020/0287320,PRT,10.49,1.020775488,10.49,2,4.1,laithwaites
108,Pigassou 2021,14,2021,75,France,Red,10.99,504,3.9,https://www.laithwaites.co.uk/product/Pigassou-2021/0056321,FRA,10.99,1.040997692,10.99,1,3.9,laithwaites
109,Q Malbec 2020,14,2020,75,Australia,Red,12.99,164,4.3,https://www.laithwaites.co.uk/product/Q-Malbec-2020/3789520,AUS,12.99,1.113609151,12.99,2,4.3,laithwaites
110,le meilleur des 2 mondes 2017,12.5,2017,75,France,Red,19.49,12,3.5,https://www.laithwaites.co.uk/product/le-meilleur-des-2-mondes-2017/4140117,FRA,19.49,1.289811839,19.49,5,3.5,laithwaites
111,Sierra del Plata Malbec 2021,13,2021,75,Argentina,Red,10.99,94,3.8,https://www.laithwaites.co.uk/product/Sierra-del-Plata-Malbec-2021/3755621,ARG,10.99,1.040997692,10.99,1,3.8,laithwaites
112,Patronus Barossa Valley Shiraz 2017,14.5,2017,75,Australia,Red,15.99,2,5,https://www.laithwaites.co.uk/product/Patronus-Barossa-Valley-Shiraz-2017/4185017,AUS,15.99,1.203848464,15.99,5,0,laithwaites
113,Portmann Cabernet Sauvignon 2020,14,2020,75,Australia,Red,14.49,10,4.1,https://www.laithwaites.co.uk/product/Portmann-Cabernet-Sauvignon-2020/4174420,AUS,14.49,1.161068385,14.49,2,4.1,laithwaites
114,Rapaura Springs Marlborough Pinot Noir Reserve 2019,13,2019,75,New Zealand,Red,21,21,3.4,https://www.laithwaites.co.uk/product/Rapaura-Springs-Marlborough-Pinot-Noir-Reserve-2019/3757919,NZL,21,1.322219295,21,3,3.4,laithwaites
115,Maison Joseph Drouhin Givry 2018,13,2018,75,France,Red,21,6,4.2,https://www.laithwaites.co.uk/product/Maison-Joseph-Drouhin-Givry-2018/0105818,FRA,21,1.322219295,21,4,4.2,laithwaites
