,name,country,wine_type,year,scaled_price,score,num_review,abv,age,size(cL),logprice
3317,Lo Món,Spain,red,2017.0,21.28,0.0,1,14.5,5.0,75.0,1.3279716236230106
3318,Domaine Jean Foillard Morgon,France,red,2020.0,19.22,0.0,1,13.0,2.0,75.0,1.2837533833325265
3319,Suertes del Marqués Cool,Spain,red,,17.16,0.0,0,11.5,,75.0,1.2345172835126867
3320,Rioja Vega Edición Limitada,Spain,red,2018.0,14.07,0.0,2,13.5,4.0,75.0,1.1482940974347458
3321,Clos Lentiscus Perill Noir Carinyena,Spain,red,2017.0,16.82,0.0,1,13.5,5.0,75.0,1.2258259914618934
3322,La Salada El Pagès Content,Spain,red,2021.0,13.6,0.0,0,12.0,1.0,75.0,1.1335389083702174
3323,Occhipinti Vino di Contrada Bombolieri,Italy,red,2019.0,49.08,0.0,0,13.0,3.0,75.0,1.6909045540549665
3324,Almirez,Spain,red,2020.0,18.79,4.9,7,14.5,2.0,75.0,1.2739267801005256
3325,Mission Uno,Spain,red,2020.0,22.69,0.0,0,13.1,2.0,75.0,1.355834495884936
3326,Juan Gil Rosario Vera,Spain,red,2019.0,14.67,0.0,0,13.5,3.0,75.0,1.1664301138432827
3327,Ausonia Montepulciano d'Abruzzo Apollo,Italy,red,2018.0,13.57,0.0,1,14.5,4.0,75.0,1.132579847659737
3328,José Maria da Fonseca Domini,Portugal,red,2019.0,10.55,0.0,0,13.0,3.0,75.0,1.0232524596337116
3329,Muga Crianza,Spain,red,2019.0,17.98,4.6,17,14.0,3.0,75.0,1.25478968739721
3330,Luis Cañas Selección de la Familia Reserva,Spain,red,2017.0,23.64,4.8,6,14.5,5.0,75.0,1.3736474722092178
3331,Izadi Crianza,Spain,red,2019.0,11.97,4.4,11,14.0,3.0,75.0,1.0780941504064108
3332,Château Rauzan-Ségla,France,red,2016.0,129.95,0.0,0,14.5,6.0,75.0,2.1137762838370313
3333,Viña Pomal Gran Reserva,Spain,red,2014.0,25.57,0.0,2,14.0,8.0,75.0,1.4077307280263354
3334,Agrícola de Cadalso Garnacha,Spain,red,2017.0,10.21,0.0,2,14.0,5.0,75.0,1.0090257420869102
3335,Lur,Spain,red,2014.0,15.79,0.0,0,14.0,8.0,75.0,1.1983821300082942
3336,La Miranda de Secastilla,Spain,red,2018.0,11.28,0.0,2,14.0,4.0,75.0,1.0523090996473234
