name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Maison Dominique Piron Beaujolais-Villages 2020,13.5,2020,75.0,France,Red Wine,14.49,70.0,4.1,https://www.laithwaites.co.uk/product/Maison-Dominique-Piron-Beaujolais-Villages-2020/2587020,FRA,14.49,1.1610683854711745,14.49,2.0,4.1
Corsiero Nero 2021,13.5,2021,75.0,Italy,Red Wine,11.99,1843.0,4.2,https://www.laithwaites.co.uk/product/Corsiero-Nero-2021/1541021,ITA,11.99,1.0788191830988487,11.99,1.0,4.2
Willy Willy Shiraz 2021,14.5,2021,75.0,Australia,Red Wine,11.99,1279.0,3.8,https://www.laithwaites.co.uk/product/Willy-Willy-Shiraz-2021/0017021,AUS,11.99,1.0788191830988487,11.99,1.0,3.8
Purple Duck Pinot Noir 2021,13.5,2021,75.0,Australia,Red Wine,11.99,15.0,3.2,https://www.laithwaites.co.uk/product/Purple-Duck-Pinot-Noir-2021/4174921,AUS,11.99,1.0788191830988487,11.99,1.0,3.2
Willem the Silent 2020,14.5,2020,75.0,France,Red Wine,10.99,236.0,3.7,https://www.laithwaites.co.uk/product/Willem-the-Silent-2020/3793820,FRA,10.99,1.0409976924234905,10.99,2.0,3.7
Opi Malbec Reserve 2020,14.0,2020,75.0,Argentina,Red Wine,15.99,276.0,4.4,https://www.laithwaites.co.uk/product/Opi-Malbec-Reserve-2020/2670020,ARG,15.99,1.2038484637462348,15.99,2.0,4.4
Berton All Out Merlot 2021,14.5,2021,75.0,Australia,Red Wine,10.99,382.0,3.8,https://www.laithwaites.co.uk/product/Berton-All-Out-Merlot-2021/1496121,AUS,10.99,1.0409976924234905,10.99,1.0,3.8
L'Épiphanie de Saint-Émilion Grand Cru 2019,14.5,2019,75.0,France,Red Wine,40.0,11.0,3.7,https://www.laithwaites.co.uk/product/L'%C3%89piphanie-de-Saint-%C3%89milion-Grand-Cru-2019/4144619,FRA,40.0,1.6020599913279623,40.0,3.0,3.7
Il Basso Merlot 2021,12.0,2021,75.0,Italy,Red Wine,9.99,259.0,3.3,https://www.laithwaites.co.uk/product/Il-Basso-Merlot-2021/3761021,ITA,9.99,0.9995654882259823,9.99,1.0,3.3
End of the Line Malbec 2021,13.0,2021,75.0,Argentina,Red Wine,8.99,157.0,3.6,https://www.laithwaites.co.uk/product/End-of-the-Line-Malbec-2021/3471021,ARG,8.99,0.9537596917332288,8.99,1.0,3.6
La Cantera Reserva 2017,14.5,2017,75.0,Spain,Red Wine,11.99,348.0,3.7,https://www.laithwaites.co.uk/product/La-Cantera-Reserva-2017/0825717,ESP,11.99,1.0788191830988487,11.99,5.0,3.7
Cuvée du Vatican Réserve de l'Abbé Côtes du Rhône 2020,14.0,2020,75.0,France,Red Wine,13.99,169.0,3.7,https://www.laithwaites.co.uk/product/Cuv%C3%A9e-du-Vatican-R%C3%A9serve-de-l'Abb%C3%A9-C%C3%B4tes-du-Rh%C3%B4ne-2020/2266020,FRA,13.99,1.1458177144918276,13.99,2.0,3.7
Grande Réserve de Gassac Rouge 2020,14.0,2020,75.0,France,Red Wine,12.49,201.0,3.8,https://www.laithwaites.co.uk/product/Grande-R%C3%A9serve-de-Gassac-Rouge-2020/0086620,FRA,12.49,1.0965624383741355,12.49,2.0,3.8
Ixsir Altitudes Rouge 2018,14.0,2018,75.0,Lebanon,Red Wine,20.0,7.0,3.6,https://www.laithwaites.co.uk/product/Ixsir-Altitudes-Rouge-2018/4151518,LBN,20.0,1.3010299956639813,20.0,4.0,3.6
Vilarissa Valley 2019,14.0,2019,75.0,Portugal,Red Wine,11.99,244.0,4.4,https://www.laithwaites.co.uk/product/Vilarissa-Valley-2019/4036719,PRT,11.99,1.0788191830988487,11.99,3.0,4.4
Grill House Shiraz Pinotage 2021,14.5,2021,75.0,South Africa,Red Wine,12.99,525.0,4.2,https://www.laithwaites.co.uk/product/Grill-House-Shiraz-Pinotage-2021/2233621,ZAF,12.99,1.113609151073028,12.99,1.0,4.2
Barón de Barbón Reserva 2017,14.0,2017,75.0,Spain,Red Wine,16.99,92.0,3.9,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Reserva-2017/0041017,ESP,16.99,1.2301933788690456,16.99,5.0,3.9
Il Brutto Negroamaro Primitivo 2021,13.0,2021,75.0,Italy,Red Wine,11.99,1097.0,4.1,https://www.laithwaites.co.uk/product/Il-Brutto-Negroamaro-Primitivo-2021/2045621,ITA,11.99,1.0788191830988487,11.99,1.0,4.1
Senda de los Olivos Crianza 2016,14.5,2016,75.0,Spain,Red Wine,19.99,1.0,5.0,https://www.laithwaites.co.uk/product/Senda-de-los-Olivos-Crianza-2016/4127216,ESP,19.99,1.300812794118117,19.99,6.0,0.0
Saracosa 2019,13.0,2019,75.0,Italy,Red Wine,12.49,434.0,4.1,https://www.laithwaites.co.uk/product/Saracosa-2019/0557119,ITA,12.49,1.0965624383741355,12.49,3.0,4.1
Rex Mundi Shiraz Grenache Wine Box 2021,13.0,2021,300.0,France,Red Wine,30.0,14.0,4.9,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-Wine-Box-2021/4232821,FRA,7.5,0.8750612633917001,30.0,1.0,4.9
Camino de Seda 2021,15.0,2021,75.0,Spain,Red Wine,11.99,1061.0,3.7,https://www.laithwaites.co.uk/product/Camino-de-Seda-2021/1855021,ESP,11.99,1.0788191830988487,11.99,1.0,3.7
