name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Tuffers' Tipple Without a Paddle Chardonnay 2021,13.5,2021,75.0,Australia,White,12.99,0,0.0,https://www.virginwines.co.uk/wine/Z41844103330/Tuffers-Tipple-Without-a-Paddle-Chardonnay,AUS,12.99,1.113609151073028,12.99,1.0,0.0
La Serena Gemini Brunello di Montalcino DOCG Riserva 2016,15.0,2016,75.0,Italy,Red,69.99,0,0.0,https://www.virginwines.co.uk/wine/Z41964101935/La-Serena-Gemini-Brunello-di-Montalcino-DOCG-Riserva,ITA,69.99,1.845035993513415,69.99,6.0,0.0
The Comeback Kid Langhorne Creek Cabernet 2020,14.5,2020,75.0,Australia,Red,16.99,56,4.4,https://www.virginwines.co.uk/wine/Z41271102291/The-Comeback-Kid-Langhorne-Creek-Cabernet,AUS,16.99,1.2301933788690456,16.99,2.0,4.4
Black Flag Winemakers Adelaide Hills Chardonnay 2020,13.0,2020,75.0,Australia,White,16.99,63,4.1,https://www.virginwines.co.uk/wine/Z39670102291/Black-Flag-Winemakers-Adelaide-Hills-Chardonnay,AUS,16.99,1.2301933788690456,16.99,2.0,4.1
Three Gables Western Cape Cinsault Malbec 2021,13.5,2021,75.0,South Africa,Red,11.99,59,3.9,https://www.virginwines.co.uk/wine/Z41650100009/Three-Gables-Western-Cape-Cinsault-Malbec,ZAF,11.99,1.0788191830988487,11.99,1.0,3.9
Johann Wolf Pinot Gris 2020,12.5,2020,75.0,Germany,White,10.99,213,4.1,https://www.virginwines.co.uk/wine/Z37743102638/Johann-Wolf-Pinot-Gris,DEU,10.99,1.0409976924234905,10.99,2.0,4.1
Sherwood Estate Stratum Pinot Noir 2020,13.0,2020,75.0,New Zealand,Red,13.99,59,4.0,https://www.virginwines.co.uk/wine/Z39721191434/Sherwood-Estate-Stratum-Pinot-Noir,NZL,13.99,1.1458177144918276,13.99,2.0,4.0
Bendico Terre Siciliane Vermentino 2020,12.5,2020,75.0,Italy,White,9.99,602,4.1,https://www.virginwines.co.uk/wine/Z40137103167/Bendico-Terre-Siciliane-Vermentino-Z40137103167,ITA,9.99,0.9995654882259823,9.99,2.0,4.1
Hiestand Asia de Cuba Riesling NV,10.5,NV,75.0,Germany,White,14.99,265,4.2,https://www.virginwines.co.uk/wine/Z37269102551/Hiestand-Asia-de-Cuba-Riesling,DEU,14.99,1.1758016328482794,14.99,,4.2
Que Syrah Syrah 2020,14.0,2020,75.0,USA,Red,10.99,690,3.9,https://www.virginwines.co.uk/wine/Z36441101414/Que-Syrah-Syrah,unknown,10.99,1.0409976924234905,10.99,2.0,3.9
Chateau Macquin St Georges St Emilion 2018,14.5,2018,75.0,France,Red,16.99,63,4.3,https://www.virginwines.co.uk/wine/Z39811100780/Chateau-Macquin-St-Georges-St-Emilion,FRA,16.99,1.2301933788690456,16.99,4.0,4.3
Tuffers' Tipple Up The Creek Shiraz 2020,14.0,2020,75.0,Australia,Red,12.99,1,4.0,https://www.virginwines.co.uk/wine/Z41843103330/Tuffers-Tipple-Up-The-Creek-Shiraz,AUS,12.99,1.113609151073028,12.99,2.0,0.0
La Serena Rosso di Montalcino DOC 2018,14.0,2018,75.0,Italy,Red,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z41963101935/La-Serena-Rosso-di-Montalcino-DOC,ITA,19.99,1.300812794118117,19.99,4.0,0.0
Seraph Sauvignon Blanc 2020,12.0,2020,75.0,France,White,11.99,2251,3.9,https://www.virginwines.co.uk/wine/Z33717100020/Seraph-Sauvignon-Blanc,FRA,11.99,1.0788191830988487,11.99,2.0,3.9
Pizo Carinena 2021,14.0,2021,75.0,Spain,Red,9.99,2231,4.1,https://www.virginwines.co.uk/wine/Z37508102647/Pizo-Carinena,ESP,9.99,0.9995654882259823,9.99,1.0,4.1
Chateau Dereszla Furmint Dry 2019,12.0,2019,75.0,Hungary,White,11.99,82,4.1,https://www.virginwines.co.uk/wine/Z37627102128/Chateau-Dereszla-Furmint-Dry,HUN,11.99,1.0788191830988487,11.99,3.0,4.1
Billy Bosch Semillon 2021,13.0,2021,75.0,South Africa,White,9.99,774,4.2,https://www.virginwines.co.uk/wine/Z38405100009/Billy-Bosch-Western-Cape-Semillon,ZAF,9.99,0.9995654882259823,9.99,1.0,4.2
Vashon Estate Cabernet Sauvignon Merlot 2021,14.0,2021,75.0,Australia,Red,10.99,506,4.2,https://www.virginwines.co.uk/wine/Z36801102291/Vashon-Estate-Cabernet-Sauvignon-Merlot,AUS,10.99,1.0409976924234905,10.99,1.0,4.2
Mountain View Marlborough Sauvignon Blanc 2020,9.5,2020,75.0,New Zealand,White,13.99,226,4.2,https://www.virginwines.co.uk/wine/Z38660100586/Mountain-View-Marlborough-Sauvignon-Blanc,NZL,13.99,1.1458177144918276,13.99,2.0,4.2
Targa Rioja Organic Tempranillo Garnacha 2020,13.5,2020,75.0,Spain,Red,16.99,474,4.2,https://www.virginwines.co.uk/wine/Z39045101434/Targa-Rioja-Organic-Tempranillo-Garnacha,ESP,16.99,1.2301933788690456,16.99,2.0,4.2
Perez Cruz Cabernet Sauvignon Reserva 2018,13.5,2018,75.0,Chile,Red,13.99,1826,4.3,https://www.virginwines.co.uk/wine/Z33510100826/Perez-Cruz-Cabernet-Sauvignon-Reserva,CHL,13.99,1.1458177144918276,13.99,4.0,4.3
Pizo Garnacha Blanca 2020,13.0,2020,75.0,Spain,White,10.99,309,3.9,https://www.virginwines.co.uk/wine/Z41302102647/Pizo-Garnacha-Blanca,ESP,10.99,1.0409976924234905,10.99,2.0,3.9
Champagne Laurent Perrier La Cuvee NV,12.0,NV,75.0,France,Sparkling,43.99,161,4.6,https://www.virginwines.co.uk/wine/Z37370101639/Champagne-Laurent-Perrier-La-Cuvee,FRA,43.99,1.643353961976863,43.99,,4.6
Chateau de Lancyre La Rouviere Pic St Loup Blanc 2019,13.5,2019,75.0,France,White,14.99,22,4.1,https://www.virginwines.co.uk/wine/Z36763101434/Chateau-de-Lancyre-La-Rouviere-Pic-St-Loup-Blanc,FRA,14.99,1.1758016328482794,14.99,3.0,4.1
5OS Project Nero Blend 2018,14.5,2018,75.0,Australia,Red,16.99,48,4.4,https://www.virginwines.co.uk/wine/Z37194102291/5OS-Project-Nero-Blend,AUS,16.99,1.2301933788690456,16.99,4.0,4.4
Peter-Jakob Kuhn Rheinschiefer Hallgartgen Riesling Trocken 2019,12.0,2019,75.0,Germany,White,21.99,17,4.4,https://www.virginwines.co.uk/wine/Z40793103324/Peter-Jakob-Kuhn-Rheinschiefer-Hallgartgen-Riesling-Trocken,DEU,21.99,1.3422252293607904,21.99,3.0,4.4
5oS Project McLaren Vale Shiraz Roussanne 2018,14.5,2018,75.0,Australia,Red,19.99,11,4.8,https://www.virginwines.co.uk/wine/Z40328102291/5OS-Project-McLaren-Vale-Shiraz-Roussanne,AUS,19.99,1.300812794118117,19.99,4.0,4.8
Kir Yianni Assyrtiko 2020,13.0,2020,75.0,Greece,White,14.99,32,4.3,https://www.virginwines.co.uk/wine/Z40795102951/Kir-Yianni-Assyrtiko,GRC,14.99,1.1758016328482794,14.99,2.0,4.3
Olivier Leflaive Pernand-Vergelesses Rouge 2020,13.5,2020,75.0,France,Red,34.99,0,0.0,https://www.virginwines.co.uk/wine/Z42272102131/Olivier-Leflaive-Pernand-Vergelesses-Rouge,FRA,34.99,1.5439439424829065,34.99,2.0,0.0
Domaine des Deux Roches Saint Veran Rives de Longsault 2019,13.5,2019,75.0,France,White,23.99,0,0.0,https://www.virginwines.co.uk/wine/Z42266102131/Saint-Veran-Rives-de-longsault-Des-Deux-Roches,FRA,23.99,1.3800302479678306,23.99,3.0,0.0
