rating,num_review,wine_type,size(cL),name,price,country,abv,year,url,age,score,scaled_price,logprice,countrycode,price_fixed
0.0,0,red,75.0,Veramonte Pinot Noir Reserva,11.45,Chile,13.0,2020.0,https://www.decantalo.com/uk/en/veramonte-pinot-noir-reserva.html#/1-volume-75_cl/158-year-2020,2.0,0.0,11.45,1.0588054866759067,CHL,11.45
0.0,0,red,75.0,Shafer TD9,64.17,United States,15.0,2018.0,https://www.decantalo.com/uk/en/shafer-td9.html#/1-volume-75_cl/111-year-2018,4.0,0.0,64.17,1.8073320392911905,USA,64.17
0.0,0,red,75.0,Charles Melton La Belle Mère GSM,,Australia,14.5,2017.0,https://www.decantalo.com/uk/en/charles-melton-la-belle-mere-gsm.html#/1-volume-75_cl/180-year-2017,5.0,0.0,,,AUS,
0.0,0,red,75.0,D'Arenberg The Bonsai Vine Gsm,,Australia,14.5,2015.0,https://www.decantalo.com/uk/en/d-arenberg-the-bonsai-vine-gsm.html#/1-volume-75_cl/108-year-2015,7.0,0.0,,,AUS,
0.0,0,red,75.0,D'Arenberg The Stump Jump GSM,10.32,Australia,14.5,2017.0,https://www.decantalo.com/uk/en/d-arenberg-the-stump-jump-gsm.html#/1-volume-75_cl/180-year-2017,5.0,0.0,10.32,1.0136796972911926,AUS,10.32
0.0,0,red,75.0,D'Arenberg The Dead Arm Shiraz,38.12,Australia,15.0,2017.0,https://www.decantalo.com/uk/en/d-arenberg-the-dead-arm-shiraz.html#/1-volume-75_cl/180-year-2017,5.0,0.0,38.12,1.5811528919662887,AUS,38.12
0.0,0,red,75.0,Birichino Peter Martin Ray Vineyard Cabernet Sauvignon,63.92,United States,13.5,2017.0,https://www.decantalo.com/uk/en/birichino-peter-martin-ray-vineyard-cabernet-sauvignon.html#/1-volume-75_cl/180-year-2017,5.0,0.0,63.92,1.805636766305935,USA,63.92
0.0,0,red,75.0,Birichino Enz Vineyard Mr Natural,41.74,United States,12.5,2019.0,https://www.decantalo.com/uk/en/birichino-enz-vineyard-mr-natural.html#/1-volume-75_cl/114-year-2019,3.0,0.0,41.74,1.6205524447294353,USA,41.74
0.0,0,red,75.0,Birichino Enz Vineyard Old Vines Mourvedre,40.24,United States,12.5,2019.0,https://www.decantalo.com/uk/en/birichino-enz-vineyard-old-vines-mourvedre.html#/1-volume-75_cl/114-year-2019,3.0,0.0,40.24,1.604657972047871,USA,40.24
0.0,0,red,75.0,Pelissero Langhe Nebbiolo,19.22,Italy,14.0,2017.0,https://www.decantalo.com/uk/en/pelissero-langhe-nebbiolo.html#/1-volume-75_cl/180-year-2017,5.0,0.0,19.22,1.2837533833325265,ITA,19.22
0.0,0,red,75.0,Jean-Claude Boisset Hautes-Côtes de Nuits,23.34,France,13.5,2020.0,https://www.decantalo.com/uk/en/jean-claude-boisset-hautes-cotes-de-nuits.html#/1-volume-75_cl/158-year-2020,2.0,0.0,23.34,1.3681008517093514,FRA,23.34
0.0,0,red,75.0,Panduro Tinto,16.95,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/panduro-tinto.html#/1-volume-75_cl/201-year-2021,1.0,0.0,16.95,1.2291697025391009,ESP,16.95
0.0,0,red,75.0,Newton Johnson Walker Bay Pinot Noir,,South Africa,13.5,2020.0,https://www.decantalo.com/uk/en/newton-johnson-walker-bay-pinot-noir.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ZAF,
0.0,0,red,75.0,Massolino Barbera d'Alba,,Italy,14.0,2020.0,https://www.decantalo.com/uk/en/massolino-barbera-d-alba.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ITA,
0.0,0,red,75.0,Massolino Dolcetto d'Alba,,Italy,13.5,2020.0,https://www.decantalo.com/uk/en/massolino-dolcetto-d-alba.html#/1-volume-75_cl/158-year-2020,2.0,0.0,,,ITA,
0.0,0,red,75.0,Mas Amiel Natural Syrah,21.24,France,13.5,2020.0,https://www.decantalo.com/uk/en/mas-amiel-natural-syrah.html#/1-volume-75_cl/158-year-2020,2.0,0.0,21.24,1.3271545124094315,FRA,21.24
0.0,0,red,75.0,Mas Amiel Natural Grenache,21.24,France,13.5,2020.0,https://www.decantalo.com/uk/en/mas-amiel-natural-grenache.html#/1-volume-75_cl/158-year-2020,2.0,0.0,21.24,1.3271545124094315,FRA,21.24
0.0,0,red,75.0,Mas Amiel Vertigo,15.19,France,14.5,2020.0,https://www.decantalo.com/uk/en/mas-amiel-vertigo.html#/1-volume-75_cl/158-year-2020,2.0,0.0,15.19,1.1815577738627863,FRA,15.19
0.0,0,red,75.0,Mas Amiel Initial Maury Sec,16.3,France,15.0,2017.0,https://www.decantalo.com/uk/en/mas-amiel-initial-maury-sec.html#/1-volume-75_cl/180-year-2017,5.0,0.0,16.3,1.212187604403958,FRA,16.3
0.0,0,red,75.0,COZ's Pop Tinto,18.49,Portugal,13.5,2021.0,https://www.decantalo.com/uk/en/coz-s-pop-tinto.html#/1-volume-75_cl/158-year-2020,1.0,0.0,18.49,1.266936911159173,PRT,18.49
0.0,0,red,75.0,COZ's Pop Tinto,18.49,Portugal,13.5,2021.0,https://www.decantalo.com/uk/en/coz-s-pop-tinto.html#/1-volume-75_cl/201-year-2021,1.0,0.0,18.49,1.266936911159173,PRT,18.49
0.0,0,red,75.0,Torre del Veguer Raïms de la Immortalitat Negre,24.71,Spain,14.5,2016.0,https://www.decantalo.com/uk/en/torre-del-veguer-raims-de-la-immortalitat-negre.html#/1-volume-75_cl/102-year-2016,6.0,0.0,24.71,1.3928727454020795,ESP,24.71
0.0,0,red,75.0,Torre del Veguer Eclèctic,13.69,Spain,13.5,2017.0,https://www.decantalo.com/uk/en/torre-del-veguer-eclectic.html#/1-volume-75_cl/180-year-2017,5.0,0.0,13.69,1.13640344813399,ESP,13.69
